"","pop","abcg8","alkbh7","apeh17","cd27","chrna9","dhrs3","fancg","fetub","fn3krp","gadd45g","il34","irf5","klc2","mmp9","ms4a2","mycbpap","nfkbia","npr2","p2rx1","pipox","ptgs2","rabac1","rgd735029","rogdi","ssfa2","tmem87a","usp20"
"BOR1061","1",102102,101101,101101,101101,102102,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105107,101101,102102,101101,101101,102102,NA,101101,101101,101101,101101
"BOR1063","1",102102,101101,101101,101101,101101,101101,101101,101102,101101,101101,102102,101101,101101,101101,101101,101101,105105,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1069","1",101102,101101,101101,101102,102102,101101,101101,102102,101102,101101,101102,101101,101101,101103,101101,101101,106106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR1070","1",101102,101101,101101,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101,101102,101101,101101,105105,101101,101101,101101,101101,101102,101101,101101,101101,101101,101102
"BOR1071","1",101102,101101,101101,101101,101101,101101,101101,101102,101101,101101,101102,101101,101101,101102,101101,101101,105105,101102,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1074","1",101102,101101,101101,101101,102102,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105105,102102,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR1075","1",101101,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101102,101101,101101,105106,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1076","1",101103,101101,101101,101102,101101,101101,101101,101102,101102,101101,102102,101101,101101,102102,101101,101101,105105,101101,101101,101101,101101,101101,101101,101101,101101,NA,101102
"BOR1077","1",101102,101101,101101,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1079","1",101101,101101,101101,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1080","1",101103,101101,101101,101101,102102,101101,101101,101102,101102,101101,101101,101101,101101,101101,101101,101101,105107,101101,101101,101101,101101,101101,101101,101101,101101,NA,101101
"BOR1082","1",101101,101101,101101,101101,101101,101101,101101,101102,102102,101101,101102,101101,101102,101102,101101,101101,105106,101101,101101,101101,101101,101101,NA,101101,101101,101101,101102
"BOR1086","1",101103,101101,101101,101101,102102,101101,101101,101102,102102,101101,101102,101101,101101,102102,101101,101101,106106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR1088","1",101101,101101,101101,101101,101101,101101,101101,101102,102102,101101,101102,101101,101101,101101,101101,101101,105106,101101,102102,101101,101101,101101,101101,101101,101101,101101,101102
"BOR1090","1",102103,101101,101101,101101,101101,101101,101101,101102,102102,101101,101102,101101,101101,101102,101101,101101,105106,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1091","1",101102,101101,101101,101101,101101,101101,101101,101102,101102,101101,101103,101101,101101,101102,101101,101101,106106,101102,101101,101101,101101,101101,101101,101101,101101,106106,101101
"BOR1097","1",101101,101101,101101,101101,101101,101101,101101,101102,102102,101101,101102,101101,101101,101102,101101,101101,106106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1098","1",101101,101101,101101,101101,102102,101101,101101,101102,102102,101101,101102,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1101","1",101102,101101,101101,101101,102102,101101,101101,101102,101102,101101,101101,101101,101101,101102,101101,101101,106106,102102,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR1107","1",101101,101101,101101,101101,101101,101101,101101,102102,102102,101101,101103,101101,101101,101102,101101,101101,106106,101101,102102,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1111","1",102102,101101,101101,101102,102102,101101,101101,101102,101101,101101,101102,101101,101101,101102,101101,101101,105105,101101,101101,101101,101101,102102,103103,101101,101101,101101,101101
"BOR1113","1",102103,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101101,101101,101101,105105,101101,101101,101101,101101,101101,NA,101101,101101,101101,101102
"BOR1115","1",103103,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101101,101101,101101,105105,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1125","1",102103,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101101,101101,101101,105106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1127","1",102103,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101102,101101,101101,101101,105106,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1129","1",101102,101101,101101,101101,102102,101101,101101,101102,101102,101101,101101,101101,101101,101103,101101,101101,105105,102102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1131","1",101102,101101,101101,101101,101101,101101,101101,101102,101102,101101,102102,101101,101101,101103,101101,101101,106106,101102,102102,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1133","1",101101,101101,101101,101102,101101,101101,101101,101102,101101,101101,101102,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101102,102103,101101,101101,101101,101101
"BOR1135","1",101102,101101,101101,101101,102102,101101,101101,101102,101102,101101,101102,101101,101101,101101,101101,101101,105106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1137","1",101101,101101,101101,101102,101101,101101,101101,101102,101102,101101,101101,101101,101101,101102,101101,101101,106106,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1139","1",101102,101101,101101,101101,102102,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1141","1",102103,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101102,101101,101101,101101,105106,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR1143","1",101103,101101,101101,101101,102102,101101,101101,101102,101102,101101,101101,101101,101101,101103,101101,101101,105105,101102,102102,101101,101101,101101,101101,101101,101101,101101,101101
"BOR1147","1",101102,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101102,101101,101101,105106,101101,101101,101101,101101,101102,103103,101101,101101,101101,101101
"BOR1149","1",102103,101101,101101,101102,101101,101101,101101,101102,101102,101102,101101,101101,101101,101102,101101,101101,105106,101101,101101,101101,101101,101102,102102,101101,101101,101101,101101
"BOR1151","1",101101,101101,101101,101101,101101,101101,101101,102102,101101,101101,101101,101101,101101,101101,101101,101101,105105,101102,101101,101101,101101,101102,NA,101101,101101,101101,101102
"BOR1155","1",101102,101101,101101,101101,101101,101101,101101,102102,101102,101102,101101,101101,101101,101102,101101,101101,105105,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101
"BOR614","1",101102,101101,101101,101101,101101,101101,101101,101102,101102,101101,101101,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101101,102102,101101,101101,101101,101101
"BOR615","1",101102,101101,101101,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,106107,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR616","1",101102,101101,101101,101101,102102,101101,101101,101102,101101,101101,101102,101101,101101,101101,101101,101101,105106,101102,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR618","1",101101,101101,101101,101102,102102,101101,101101,101102,102102,101101,101102,101101,101101,101102,101101,101101,105105,101101,101101,101101,101101,101101,101101,101101,101101,101101,101102
"BOR619","1",101102,101101,101101,101101,101101,101101,101101,101102,102102,101101,101101,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101102,101101,101101,101101,101101,101102
"BOR621","1",101102,101101,101101,101101,101101,101101,101101,101102,101101,101101,101101,101101,101101,101101,101101,101101,105107,101101,101101,101101,101101,101102,103103,101101,101101,101101,101101
"BOR626","1",101102,101101,101101,101102,101101,101101,101101,101102,101102,101102,101101,101101,101101,101101,101101,101101,105106,101101,101101,101101,101101,101101,101101,101101,101101,101101,101101
"BOR663","1",104104,101101,101101,102103,101101,102102,101101,101102,103103,101103,101103,101101,101101,103103,102103,102102,107108,104104,102103,101101,101101,102102,104104,101102,101101,102102,103104
